iso3c,production,reported_by_fao,year,country_application,nutrient,nearest,method,gapfilled
VCT,1753.1834526062012,No,2017,208.45,K2O,208.45,none,0
ATG,1300.8822555541992,Yes,2017,5.56,K2O,ATG,none,0
MSR,597.2594909667969,No,2017,3.71,K2O,3.71,none,0
FSM,377.7010202407837,No,2017,3.71,K2O,3.71,none,0
NIU,365.32257080078125,No,2017,3.71,K2O,3.71,none,0
KIR,362.8517019748688,No,2017,3.71,K2O,3.71,none,0
PSE,259.6483723522413,No,2017,3.71,K2O,3.71,none,0
KNA,254.51612854003903,Yes,2017,3.71,K2O,KNA,none,0
VGB,169.47203826904297,No,2017,3.71,K2O,3.71,none,0
AND,124.50000250339507,No,2017,24.39,K2O,24.39,none,0
ESH,124.03519773483276,No,2017,24.39,K2O,24.39,none,0
WLF,74.63145104050636,No,2017,24.39,K2O,24.39,none,0
SYC,51.590001583099365,Yes,2017,24.39,K2O,SYC,none,0
CYM,18.799999237060547,No,2017,3.13,K2O,3.13,none,0
HKG,7.1721498655297875,No,2017,3.0361,K2O,3.13,none,0
ABW,0,No,2017,3.13,K2O,3.13,none,0
AIA,0,No,2017,3.13,K2O,3.13,none,0
ASM,0,No,2017,3.13,K2O,3.13,none,0
BES,0,No,2017,3.13,K2O,3.13,none,0
BLM,0,No,2017,3.13,K2O,3.13,none,0
CCK,0,No,2017,3.13,K2O,3.13,none,0
COK,0,Yes,2017,3.13,K2O,COK,none,0
COM,0,No,2017,3.13,K2O,3.13,none,0
CPV,0,No,2017,3.13,K2O,3.13,none,0
CUW,0,No,2017,3.13,K2O,3.13,none,0
FLK,0,No,2017,3.13,K2O,3.13,none,0
FRO,0,No,2017,2.68554,K2O,3.13,none,0
GIB,0,No,2017,2.68554,K2O,3.13,none,0
GRL,0,No,2017,3.13,K2O,3.13,none,0
IMN,0,No,2017,3.13,K2O,3.13,none,0
IOT,0,No,2017,3.13,K2O,3.13,none,0
LIE,0,No,2017,3.13,K2O,3.13,none,0
MAC,0,No,2017,3.0361,K2O,3.13,none,0
MAF,0,No,2017,3.13,K2O,3.13,none,0
MCO,0,No,2017,3.13,K2O,3.13,none,0
MDV,0,Yes,2017,32.71,K2O,MDV,none,0
MHL,0,No,2017,3.13,K2O,3.13,none,0
MNP,0,No,2017,3.13,K2O,3.13,none,0
MYT,0,No,2017,3.13,K2O,3.13,none,0
NFK,0,No,2017,3.13,K2O,3.13,none,0
NRU,0,Yes,2017,0,K2O,NRU,none,0
PCN,0,No,2017,3.13,K2O,3.13,none,0
PLW,0,No,2017,3.13,K2O,3.13,none,0
REU,0,No,2017,3.13,K2O,3.13,none,0
SHN,0,No,2017,3.13,K2O,3.13,none,0
SJM,0,No,2017,2.68554,K2O,3.13,none,0
SMR,0,No,2017,3.13,K2O,3.13,none,0
SPM,0,No,2017,3.13,K2O,3.13,none,0
SXM,0,No,2017,3.13,K2O,3.13,none,0
TCA,0,No,2017,3.13,K2O,3.13,none,0
TKL,0,No,2017,3.13,K2O,3.13,none,0
TUV,0,No,2017,3.13,K2O,3.13,none,0
VIR,0,No,2017,3.13,K2O,3.13,none,0
WSM,0,Yes,2017,8.35,K2O,WSM,none,0
CHN,2267414909.013471,Yes,2018,10455146.6393,K2O,CHN,none,0
USA,1685696968.1634908,Yes,2018,4109153.59056,K2O,USA,none,0
IND,1298334009.3600392,Yes,2018,2779100,K2O,IND,none,0
RUS,393538249.3994526,Yes,2018,378635.79600000003,K2O,RUS,none,0
DEU,370973013.91670436,Yes,2018,351391.326,K2O,DEU,none,0
IDN,342701278.9558128,Yes,2018,2164718.02,K2O,IDN,none,0
FRA,331406239.8252842,Yes,2018,387271.17,K2O,FRA,none,0
PAK,305394562.04671705,Yes,2018,54173,K2O,PAK,none,0
AUS,294279917.9619316,Yes,2018,197949.43922,K2O,AUS,none,0
EGY,276096501.37281895,Yes,2018,125000,K2O,EGY,none,0
BRA,265053819.25387812,Yes,2018,6658865.797080001,K2O,BRA,none,0
THA,250650979.07415372,Yes,2018,619938.18,K2O,THA,none,0
MEX,244714768.83693212,Yes,2018,302353.71,K2O,MEX,none,0
CAN,213816256.9340958,Yes,2018,427000,K2O,CAN,none,0
ARG,200824807.52287441,Yes,2018,41297.79,K2O,ARG,none,0
VNM,175531253.24923196,Yes,2018,578928.28,K2O,VNM,none,0
UKR,169486497.68667194,Yes,2018,328670.44,K2O,UKR,none,0
IRN,129910329.12320079,Yes,2018,34112.3755,K2O,IRN,none,0
ITA,127819881.1273082,Yes,2018,98104.57800000001,K2O,ITA,none,0
ESP,124586547.10772365,Yes,2018,355791.15,K2O,ESP,none,0
PHL,122448932.7718554,Yes,2018,162050,K2O,PHL,none,0
BGD,117668736.34127656,Yes,2018,434400,K2O,BGD,none,0
MYS,113914676.43505079,Yes,2018,1052602.55,K2O,MYS,none,0
GBR,109019734.02652495,Yes,2018,224796,K2O,GBR,none,0
POL,107416258.81941463,Yes,2018,487172.4,K2O,POL,none,0
JPN,100319549.95629139,Yes,2018,255690,K2O,JPN,none,0
COL,79846359.37517765,Yes,2018,436692,K2O,COL,none,0
TUR,76049183.09535167,Yes,2018,115512,K2O,TUR,none,0
NLD,70788056.33485001,Yes,2018,50045.424,K2O,NLD,none,0
ROU,67355533.9592786,Yes,2018,56314.83,K2O,ROU,none,0
UZB,66272017.93972518,Yes,2018,75600.72,K2O,UZB,none,0
GTM,56733102.49160689,Yes,2018,83189.16,K2O,GTM,none,0
ZAF,56112834.05497494,Yes,2018,126984,K2O,ZAF,none,0
PER,51883022.74158923,Yes,2018,109124,K2O,PER,none,0
MMR,47367605.74191096,Yes,2018,128081.32,K2O,MMR,none,0
BLR,47182114.28745654,Yes,2018,353911.475,K2O,BLR,none,0
DNK,44849307.75908263,Yes,2018,54647.9076,K2O,DNK,none,0
MAR,44230673.90954738,Yes,2018,153530.39,K2O,MAR,none,0
PRY,40807672.72664807,Yes,2018,213695.71,K2O,PRY,none,0
BEL,37881620.430979386,Yes,2018,52664.898,K2O,BEL,none,0
SWE,37143224.497521594,Yes,2018,33449.13,K2O,SWE,none,0
ECU,36358870.95008872,Yes,2018,139023.82,K2O,ECU,none,0
CHL,35358705.215926774,Yes,2018,84915,K2O,CHL,none,0
HUN,33193416.77833699,Yes,2018,95137.614,K2O,HUN,none,0
KOR,33154489.12534804,Yes,2018,144944.05,K2O,KOR,none,0
DZA,32143603.141003493,Yes,2018,26700,K2O,DZA,none,0
GRC,31918293.246788524,Yes,2018,42747.276,K2O,GRC,none,0
KAZ,29929723.955679696,Yes,2018,1291.45,K2O,KAZ,none,0
CZE,29788124.38627481,Yes,2018,25649.052,K2O,CZE,none,0
PRT,28506095.278970405,Yes,2018,28131.02292,K2O,PRT,none,0
NPL,26876323.37709631,Yes,2018,7811,K2O,NPL,none,0
CUB,26294904.08919849,Yes,2018,26680.56,K2O,CUB,none,0
GHA,24756986.966226343,Yes,2018,31200,K2O,GHA,none,0
SRB,22487966.389169283,Yes,2018,47795.6839167294,K2O,SRB,none,0
NGA,22359247.217234705,Yes,2018,113700,K2O,NGA,none,0
ETH,22181941.102866244,Yes,2018,1469.98,K2O,ETH,none,0
LVA,20371689.546484135,Yes,2018,25876.422,K2O,LVA,none,0
SDN,19222229.623063345,Yes,2018,2947.44,K2O,SDN,none,0
TZA,19013640.007680494,Yes,2018,15038.42,K2O,TZA,none,0
AUT,18718651.40663913,Yes,2018,30124.517280000004,K2O,AUT,none,0
NIC,17610256.38688291,Yes,2018,25500.25,K2O,NIC,none,0
PRK,17014139.914172295,No,2018,25500.25,K2O,25500.25,none,0
VEN,15907817.17073627,Yes,2018,86600,K2O,VEN,none,0
TWN,15451483.585332446,Yes,2018,111770.17,K2O,TWN,none,0
AZE,14907447.192262892,Yes,2018,8363.22,K2O,AZE,none,0
CHE,14525092.945975028,Yes,2018,16020.92,K2O,CHE,none,0
FIN,14055662.784255108,Yes,2018,35939.904,K2O,FIN,none,0
NZL,13942387.220853884,Yes,2018,24171.503599999996,K2O,NZL,none,0
KGZ,13692151.529250788,Yes,2018,196,K2O,KGZ,none,0
CMR,13637400.23891997,Yes,2018,24374.84,K2O,CMR,none,0
KHM,13595715.82186319,Yes,2018,4202.96,K2O,KHM,none,0
CIV,12955457.408819854,Yes,2018,44401.33,K2O,CIV,none,0
HND,12780212.949240863,Yes,2018,47080.38,K2O,HND,none,0
SAU,12683449.049103377,Yes,2018,29400,K2O,SAU,none,0
MLI,12463161.338653237,Yes,2018,20633.95,K2O,MLI,none,0
LTU,12354101.599334715,Yes,2018,61427.652,K2O,LTU,none,0
TUN,12035264.377723213,Yes,2018,15500,K2O,TUN,none,0
MDG,11867310.836907458,Yes,2018,4468.03,K2O,MDG,none,0
LAO,11740312.049463883,No,2018,4468.03,K2O,4468.03,none,0
AGO,11316164.06115643,Yes,2018,10524.33,K2O,AGO,none,0
SVK,11271125.355770351,Yes,2018,16859.57988,K2O,SVK,none,0
LKA,11254375.594190333,Yes,2018,79884.65,K2O,LKA,none,0
AFG,11103174.046912694,Yes,2018,0.62,K2O,AFG,none,0
KEN,10772148.531103551,Yes,2018,29027.8,K2O,KEN,none,0
NOR,10740117.096851815,Yes,2018,40937,K2O,NOR,none,0
TKM,10726360.416745638,No,2018,40937,K2O,40937,none,0
SYR,10559246.660225878,Yes,2018,2319.69,K2O,SYR,none,0
ISR,10317064.779519146,Yes,2018,36000,K2O,ISR,none,0
DOM,10152260.896133812,Yes,2018,52842.53,K2O,DOM,none,0
TJK,9741323.549771942,Yes,2018,1110.27,K2O,TJK,none,0
YEM,9554599.044593014,Yes,2018,184.5,K2O,YEM,none,0
SWZ,9477485.681020593,No,2018,184.5,K2O,184.5,none,0
IRL,9129797.634830145,Yes,2018,147218.09388,K2O,IRL,none,0
MWI,8903642.548293917,Yes,2018,17559.3,K2O,MWI,none,0
SLV,8782144.894177927,Yes,2018,14016.49,K2O,SLV,none,0
BOL,8670978.747869343,Yes,2018,4371.01,K2O,BOL,none,0
MDA,8538527.205399537,Yes,2018,12278.95,K2O,MDA,none,0
BGR,7926581.878972925,Yes,2018,36822.786,K2O,BGR,none,0
URY,7816526.595472928,Yes,2018,89795.15,K2O,URY,none,0
EST,7745325.367166781,Yes,2018,10466.742,K2O,EST,none,0
IRQ,7661246.997111124,Yes,2018,5231.4,K2O,IRQ,none,0
HRV,7451541.9081978705,Yes,2018,36561.954,K2O,HRV,none,0
ZMB,7340673.0285031125,Yes,2018,14724.55,K2O,ZMB,none,0
ZWE,7083056.152574739,Yes,2018,36900,K2O,ZWE,none,0
CRI,6996794.074496098,Yes,2018,49165.55,K2O,CRI,none,0
COD,6643288.819602948,Yes,2018,4352.58,K2O,COD,none,0
BEN,6277503.905782782,Yes,2018,26935.88,K2O,BEN,none,0
UGA,6191792.702472046,Yes,2018,5389.53,K2O,UGA,none,0
ALB,6057152.999387405,Yes,2018,2579.38,K2O,ALB,none,0
MOZ,5544543.034773104,Yes,2018,7244.51,K2O,MOZ,none,0
NER,5324185.605239309,Yes,2018,159.68,K2O,NER,none,0
PNG,5249871.930766702,Yes,2018,9001.96,K2O,PNG,none,0
ARM,5225264.465244473,Yes,2018,210,K2O,ARM,none,0
GUY,4954922.981898397,Yes,2018,1692.8,K2O,GUY,none,0
SEN,4899747.942125075,Yes,2018,5765.65,K2O,SEN,none,0
HTI,4721179.39972458,No,2018,5765.65,K2O,5765.65,none,0
BIH,4210665.446934637,Yes,2018,9842.48,K2O,BIH,none,0
BFA,3923855.232149631,Yes,2018,25924.3,K2O,BFA,none,0
JOR,3895682.771797947,Yes,2018,1388,K2O,JOR,none,0
LBN,3502117.49785091,Yes,2018,8674.24,K2O,LBN,none,0
MUS,3487113.817627549,Yes,2018,4189.64,K2O,MUS,none,0
ARE,3460651.270073656,Yes,2018,12230.96,K2O,ARE,none,0
LBY,3425715.4297097246,Yes,2018,482.84,K2O,LBY,none,0
PAN,3267217.61708053,Yes,2018,13251.73,K2O,PAN,none,0
BDI,2748742.92866233,Yes,2018,5391.09,K2O,BDI,none,0
SVN,2525702.7958724904,Yes,2018,9572.706,K2O,SVN,none,0
RWA,2396067.7596552595,Yes,2018,3004.52,K2O,RWA,none,0
OMN,2233642.493901007,Yes,2018,10978.32,K2O,OMN,none,0
GIN,2037378.3660401627,Yes,2018,6244.21,K2O,GIN,none,0
JAM,1927771.3420681953,Yes,2018,2562.09,K2O,JAM,none,0
GEO,1714112.967168633,Yes,2018,2861.9,K2O,GEO,none,0
MKD,1678187.252377656,Yes,2018,3393.05,K2O,MKD,none,0
TCD,1631199.0443771405,No,2018,3393.05,K2O,3393.05,none,0
XKO,1505488.8990551075,No,2018,631,K2O,631,none,0
LUX,1461422.4844591722,Yes,2018,541.398,K2O,LUX,none,0
MNE,1338660.950568848,Yes,2018,513.57,K2O,MNE,none,0
TGO,1158866.0873362347,Yes,2018,9734.96,K2O,TGO,none,0
SOM,1038368.1028475016,No,2018,3436.7,K2O,3436.7,none,0
CYP,1030471.4808870537,Yes,2018,2948.6886,K2O,CYP,none,0
SLE,1028081.6690776274,No,2018,3436.7,K2O,3436.7,none,0
FJI,1011223.8870821148,Yes,2018,1716.05,K2O,FJI,none,0
SUR,878341.9295825958,Yes,2018,605.52,K2O,SUR,none,0
COG,817013.5914447829,Yes,2018,551.19,K2O,COG,none,0
MNG,708403.239158292,Yes,2018,796.55,K2O,MNG,none,0
GNB,582822.1520262472,No,2018,4737.15,K2O,4737.15,none,0
GAB,472134.8084433824,Yes,2018,4737.15,K2O,GAB,none,0
MRT,465262.4154650011,No,2018,4737.15,K2O,4737.15,none,0
LBR,403184.49088207074,No,2018,2700,K2O,2700,none,0
QAT,368794.1200319603,Yes,2018,2700,K2O,QAT,none,0
TLS,345131.65923787653,No,2018,4238.1,K2O,4238.1,none,0
KWT,329516.8733068891,Yes,2018,4238.1,K2O,KWT,none,0
CAF,311807.46240679733,Yes,2018,182.3,K2O,CAF,none,0
BTN,211961.66956338336,Yes,2018,211.43,K2O,BTN,none,0
GMB,164120.41320878267,Yes,2018,827.71,K2O,GMB,none,0
ERI,157223.43264709655,Yes,2018,1.28,K2O,ERI,none,0
XMI,147685.73278356518,Yes,2018,0,K2O,XMI,none,0
SSD,121669.49473145345,No,2018,0,K2O,0,none,0
CXR,112599.20039215684,No,2018,4012.71,K2O,4012.71,none,0
ALA,90919.16266685673,No,2018,3442.90518,K2O,4012.71,none,0
LSO,88594.53884182841,No,2018,4012.71,K2O,4012.71,none,0
BLZ,83628.44249719381,Yes,2018,4012.71,K2O,BLZ,none,0
BHR,81095.11913231015,Yes,2018,145.5,K2O,BHR,none,0
MLT,69660.46047009453,Yes,2018,113.70216,K2O,MLT,none,0
"NAM",66674.56633578241,Yes,2018,469.49,K2O,"NAM",none,0
BRN,38542.701472287066,Yes,2018,234,K2O,BRN,none,0
TTO,36921.29870283604,Yes,2018,1200,K2O,TTO,none,0
GNQ,35972.30806827545,No,2018,1200,K2O,1200,none,0
PRI,28662.257500866424,No,2018,1056.84,K2O,1056.84,none,0
GUF,26967.58330526948,No,2018,1056.84,K2O,1056.84,none,0
BWA,24817.926067456105,Yes,2018,1056.84,K2O,BWA,none,0
GLP,23751.10955373943,No,2018,1056.84,K2O,1056.84,none,0
DJI,22681.95148062706,No,2018,1056.84,K2O,1056.84,none,0
GRD,21957.41449737549,No,2018,1056.84,K2O,1056.84,none,0
SGP,20506.614683747295,No,2018,446.22,K2O,446.22,none,0
SLB,17624.222730457783,No,2018,446.22,K2O,446.22,none,0
MTQ,17572.376029849052,No,2018,446.22,K2O,446.22,none,0
VUT,16904.80774780363,No,2018,446.22,K2O,446.22,none,0
BHS,16526.3634185791,Yes,2018,446.22,K2O,BHS,none,0
ISL,8912.380160093307,Yes,2018,2702,K2O,ISL,none,0
NCL,7881.618533998728,Yes,2018,528,K2O,NCL,none,0
JEY,6522.582320484483,No,2018,148.85,K2O,148.85,none,0
BRB,5771.393712043762,Yes,2018,148.85,K2O,BRB,none,0
GGY,5565.868829096662,Yes,2018,0,K2O,GGY,none,0
DMA,5268.732059001923,Yes,2018,40.66,K2O,DMA,none,0
LCA,3284.654992580414,Yes,2018,131.72,K2O,LCA,none,0
STP,2771.982379555702,No,2018,54.48,K2O,54.48,none,0
TON,2357.369364261627,Yes,2018,54.48,K2O,TON,none,0
GUM,2163.8583984375,No,2018,54.48,K2O,54.48,none,0
BMU,1939.9529418945312,Yes,2018,16,K2O,BMU,none,0
PYF,1880.0881591588259,Yes,2018,165.69,K2O,PYF,none,0
VCT,1753.1834526062012,No,2018,165.69,K2O,165.69,none,0
ATG,1300.8822555541992,Yes,2018,1.84,K2O,ATG,none,0
MSR,597.2594909667969,No,2018,3.71,K2O,3.71,none,0
FSM,377.7010202407837,No,2018,3.71,K2O,3.71,none,0
NIU,365.32257080078125,No,2018,3.71,K2O,3.71,none,0
KIR,362.8517019748688,No,2018,3.71,K2O,3.71,none,0
PSE,259.6483723522413,No,2018,3.71,K2O,3.71,none,0
KNA,254.51612854003903,Yes,2018,3.71,K2O,KNA,none,0
VGB,169.47203826904297,No,2018,3.71,K2O,3.71,none,0
AND,124.50000250339507,No,2018,18.88,K2O,18.88,none,0
ESH,124.03519773483276,No,2018,18.88,K2O,18.88,none,0
WLF,74.63145104050636,No,2018,18.88,K2O,18.88,none,0
SYC,51.590001583099365,Yes,2018,18.88,K2O,SYC,none,0
CYM,18.799999237060547,No,2018,2.57,K2O,2.57,none,0
HKG,7.1721498655297875,No,2018,2.4928999999999997,K2O,2.57,none,0
ABW,0,No,2018,2.57,K2O,2.57,none,0
AIA,0,No,2018,2.57,K2O,2.57,none,0
ASM,0,No,2018,2.57,K2O,2.57,none,0
BES,0,No,2018,2.57,K2O,2.57,none,0
BLM,0,No,2018,2.57,K2O,2.57,none,0
CCK,0,No,2018,2.57,K2O,2.57,none,0
COK,0,Yes,2018,2.57,K2O,COK,none,0
COM,0,No,2018,2.57,K2O,2.57,none,0
CPV,0,No,2018,2.57,K2O,2.57,none,0
CUW,0,No,2018,2.57,K2O,2.57,none,0
FLK,0,No,2018,2.57,K2O,2.57,none,0
FRO,0,No,2018,2.20506,K2O,2.57,none,0
GIB,0,No,2018,2.20506,K2O,2.57,none,0
GRL,0,No,2018,2.57,K2O,2.57,none,0
IMN,0,No,2018,2.57,K2O,2.57,none,0
IOT,0,No,2018,2.57,K2O,2.57,none,0
LIE,0,No,2018,2.57,K2O,2.57,none,0
MAC,0,No,2018,2.4928999999999997,K2O,2.57,none,0
MAF,0,No,2018,2.57,K2O,2.57,none,0
MCO,0,No,2018,2.57,K2O,2.57,none,0
MDV,0,Yes,2018,20.26,K2O,MDV,none,0
MHL,0,No,2018,2.57,K2O,2.57,none,0
MNP,0,No,2018,2.57,K2O,2.57,none,0
MYT,0,No,2018,2.57,K2O,2.57,none,0
NFK,0,No,2018,2.57,K2O,2.57,none,0
NRU,0,Yes,2018,0,K2O,NRU,none,0
PCN,0,No,2018,2.57,K2O,2.57,none,0
PLW,0,No,2018,2.57,K2O,2.57,none,0
REU,0,No,2018,2.57,K2O,2.57,none,0
SHN,0,No,2018,2.57,K2O,2.57,none,0
SJM,0,No,2018,2.20506,K2O,2.57,none,0
SMR,0,No,2018,2.57,K2O,2.57,none,0
SPM,0,No,2018,2.57,K2O,2.57,none,0
SXM,0,No,2018,2.57,K2O,2.57,none,0
TCA,0,No,2018,2.57,K2O,2.57,none,0
TKL,0,No,2018,2.57,K2O,2.57,none,0
TUV,0,No,2018,2.57,K2O,2.57,none,0
VIR,0,No,2018,2.57,K2O,2.57,none,0
WSM,0,Yes,2018,21.74,K2O,WSM,none,0
CHN,2267414909.013471,Yes,2019,9937968.451000001,K2O,CHN,none,0
USA,1685696968.1634908,Yes,2019,4011920.5283199996,K2O,USA,none,0
IND,1298334009.3600392,Yes,2019,2640900,K2O,IND,none,0
RUS,393538249.3994526,Yes,2019,407559.6,K2O,RUS,none,0
DEU,370973013.91670436,Yes,2019,359967.036,K2O,DEU,none,0
IDN,342701278.9558128,Yes,2019,1732598.61,K2O,IDN,none,0
FRA,331406239.8252842,Yes,2019,402955.41000000003,K2O,FRA,none,0
PAK,305394562.04671705,Yes,2019,47260,K2O,PAK,none,0
AUS,294279917.9619316,Yes,2019,194122.9525,K2O,AUS,none,0
EGY,276096501.37281895,Yes,2019,125000,K2O,EGY,none,0
BRA,265053819.25387812,Yes,2019,6747047.56344,K2O,BRA,none,0
THA,250650979.07415372,Yes,2019,388830.56,K2O,THA,none,0
MEX,244714768.83693212,Yes,2019,248908.17,K2O,MEX,none,0
CAN,213816256.9340958,Yes,2019,427000,K2O,CAN,none,0
ARG,200824807.52287441,Yes,2019,38561.61,K2O,ARG,none,0
VNM,175531253.24923196,Yes,2019,511490.7,K2O,VNM,none,0
UKR,169486497.68667194,Yes,2019,301614.6,K2O,UKR,none,0
IRN,129910329.12320079,Yes,2019,34112.3755,K2O,IRN,none,0
ITA,127819881.1273082,Yes,2019,94822.728,K2O,ITA,none,0
ESP,124586547.10772365,Yes,2019,316651.764,K2O,ESP,none,0
PHL,122448932.7718554,Yes,2019,206534.48,K2O,PHL,none,0
BGD,117668736.34127656,Yes,2019,429600,K2O,BGD,none,0
MYS,113914676.43505079,Yes,2019,1052602.55,K2O,MYS,none,0
GBR,109019734.02652495,Yes,2019,229086,K2O,GBR,none,0
POL,107416258.81941463,Yes,2019,487866.522,K2O,POL,none,0
JPN,100319549.95629139,Yes,2019,255690,K2O,JPN,none,0
COL,79846359.37517765,Yes,2019,395078.15,K2O,COL,none,0
TUR,76049183.09535167,Yes,2019,116500,K2O,TUR,none,0
NLD,70788056.33485001,Yes,2019,46138.95,K2O,NLD,none,0
ROU,67355533.9592786,Yes,2019,79157.364,K2O,ROU,none,0
UZB,66272017.93972518,Yes,2019,75600.72,K2O,UZB,none,0
GTM,56733102.49160689,Yes,2019,53980.24,K2O,GTM,none,0
ZAF,56112834.05497494,Yes,2019,126984,K2O,ZAF,none,0
PER,51883022.74158923,Yes,2019,89285.5,K2O,PER,none,0
MMR,47367605.74191096,Yes,2019,164398.51,K2O,MMR,none,0
BLR,47182114.28745654,Yes,2019,355011.3,K2O,BLR,none,0
DNK,44849307.75908263,Yes,2019,57487.91334,K2O,DNK,none,0
MAR,44230673.90954738,Yes,2019,107282.43,K2O,MAR,none,0
PRY,40807672.72664807,Yes,2019,199670.87,K2O,PRY,none,0
BEL,37881620.430979386,Yes,2019,52519.896,K2O,BEL,none,0
SWE,37143224.497521594,Yes,2019,30948.06,K2O,SWE,none,0
ECU,36358870.95008872,Yes,2019,113739.99,K2O,ECU,none,0
CHL,35358705.215926774,Yes,2019,84915,K2O,CHL,none,0
HUN,33193416.77833699,Yes,2019,85697.04000000001,K2O,HUN,none,0
KOR,33154489.12534804,Yes,2019,143899.67,K2O,KOR,none,0
DZA,32143603.141003493,Yes,2019,26700,K2O,DZA,none,0
GRC,31918293.246788524,Yes,2019,44522.478,K2O,GRC,none,0
KAZ,29929723.955679696,Yes,2019,1741.01,K2O,KAZ,none,0
CZE,29788124.38627481,Yes,2019,18527.652000000002,K2O,CZE,none,0
PRT,28506095.278970405,Yes,2019,29298.36624,K2O,PRT,none,0
NPL,26876323.37709631,Yes,2019,7377,K2O,NPL,none,0
CUB,26294904.08919849,Yes,2019,26680.56,K2O,CUB,none,0
GHA,24756986.966226343,Yes,2019,52300,K2O,GHA,none,0
SRB,22487966.389169283,Yes,2019,53352.4610790234,K2O,SRB,none,0
NGA,22359247.217234705,Yes,2019,113700,K2O,NGA,none,0
ETH,22181941.102866244,Yes,2019,1469.98,K2O,ETH,none,0
LVA,20371689.546484135,Yes,2019,27202.89,K2O,LVA,none,0
SDN,19222229.623063345,Yes,2019,1693.25,K2O,SDN,none,0
TZA,19013640.007680494,Yes,2019,15038.42,K2O,TZA,none,0
AUT,18718651.40663913,Yes,2019,27759.079920000004,K2O,AUT,none,0
NIC,17610256.38688291,Yes,2019,19628.18,K2O,NIC,none,0
PRK,17014139.914172295,No,2019,19628.18,K2O,19628.18,none,0
VEN,15907817.17073627,Yes,2019,86600,K2O,VEN,none,0
TWN,15451483.585332446,Yes,2019,105101.25,K2O,TWN,none,0
AZE,14907447.192262892,Yes,2019,9214,K2O,AZE,none,0
CHE,14525092.945975028,Yes,2019,14670.74,K2O,CHE,none,0
FIN,14055662.784255108,Yes,2019,35191.728,K2O,FIN,none,0
NZL,13942387.220853884,Yes,2019,24932.810799999977,K2O,NZL,none,0
KGZ,13692151.529250788,Yes,2019,374,K2O,KGZ,none,0
CMR,13637400.23891997,Yes,2019,24375.49,K2O,CMR,none,0
KHM,13595715.82186319,Yes,2019,8463.49,K2O,KHM,none,0
CIV,12955457.408819854,Yes,2019,58074.13,K2O,CIV,none,0
HND,12780212.949240863,Yes,2019,42804.55,K2O,HND,none,0
SAU,12683449.049103377,Yes,2019,29400,K2O,SAU,none,0
MLI,12463161.338653237,Yes,2019,20633.95,K2O,MLI,none,0
LTU,12354101.599334715,Yes,2019,61797.6216,K2O,LTU,none,0
TUN,12035264.377723213,Yes,2019,15500,K2O,TUN,none,0
MDG,11867310.836907458,Yes,2019,5667.59,K2O,MDG,none,0
LAO,11740312.049463883,No,2019,5667.59,K2O,5667.59,none,0
AGO,11316164.06115643,Yes,2019,9007.58,K2O,AGO,none,0
SVK,11271125.355770351,Yes,2019,16849.6185,K2O,SVK,none,0
LKA,11254375.594190333,Yes,2019,77171.34,K2O,LKA,none,0
AFG,11103174.046912694,Yes,2019,0,K2O,AFG,none,0
KEN,10772148.531103551,Yes,2019,42676.53,K2O,KEN,none,0
NOR,10740117.096851815,Yes,2019,41464,K2O,NOR,none,0
TKM,10726360.416745638,No,2019,41464,K2O,41464,none,0
SYR,10559246.660225878,Yes,2019,2906.78,K2O,SYR,none,0
ISR,10317064.779519146,Yes,2019,35097.98,K2O,ISR,none,0
DOM,10152260.896133812,Yes,2019,52842.53,K2O,DOM,none,0
TJK,9741323.549771942,Yes,2019,1291.4,K2O,TJK,none,0
YEM,9554599.044593014,Yes,2019,1443.05,K2O,YEM,none,0
SWZ,9477485.681020593,No,2019,1443.05,K2O,1443.05,none,0
IRL,9129797.634830145,Yes,2019,143638.04598,K2O,IRL,none,0
MWI,8903642.548293917,Yes,2019,18622.54,K2O,MWI,none,0
SLV,8782144.894177927,Yes,2019,9140.76,K2O,SLV,none,0
BOL,8670978.747869343,Yes,2019,3524,K2O,BOL,none,0
MDA,8538527.205399537,Yes,2019,8845.6,K2O,MDA,none,0
BGR,7926581.878972925,Yes,2019,36822.786,K2O,BGR,none,0
URY,7816526.595472928,Yes,2019,56672.41,K2O,URY,none,0
EST,7745325.367166781,Yes,2019,10466.742,K2O,EST,none,0
IRQ,7661246.997111124,Yes,2019,5231.4,K2O,IRQ,none,0
HRV,7451541.9081978705,Yes,2019,36677.784,K2O,HRV,none,0
ZMB,7340673.0285031125,Yes,2019,39798.2,K2O,ZMB,none,0
ZWE,7083056.152574739,Yes,2019,36900,K2O,ZWE,none,0
CRI,6996794.074496098,Yes,2019,46133.18,K2O,CRI,none,0
COD,6643288.819602948,Yes,2019,2623.58,K2O,COD,none,0
BEN,6277503.905782782,Yes,2019,36085.74,K2O,BEN,none,0
UGA,6191792.702472046,Yes,2019,5389.53,K2O,UGA,none,0
ALB,6057152.999387405,Yes,2019,4190.61,K2O,ALB,none,0
MOZ,5544543.034773104,Yes,2019,7244.51,K2O,MOZ,none,0
NER,5324185.605239309,Yes,2019,592.05,K2O,NER,none,0
PNG,5249871.930766702,Yes,2019,8599.21,K2O,PNG,none,0
ARM,5225264.465244473,Yes,2019,210,K2O,ARM,none,0
GUY,4954922.981898397,Yes,2019,1880.26,K2O,GUY,none,0
